ItemID,ItemName
0,None
1,Ability Capsule
2,Ability Patch
3,Ability Shield
4,Ability Urge
5,Abomasite
6,Absolite
7,Absorb Bulb
8,Academy Ball
9,Academy Bottle
10,Academy Cup
11,Academy Tablecloth
12,Adamant Crystal
13,Adamant Mint
14,Adamant Orb
15,Adrenaline Orb
16,Aerodactylite
17,Aggronite
18,Aguav Berry
19,Air Balloon
20,Alakazite
21,Alomomola Mucus
22,Aloraichium Z
23,Altarianite
24,Ampharosite
25,Amulet Coin
26,Antidote
27,Apicot Berry
28,Apple
29,Applin Juice
30,Apricorn
31,Armor Fossil
32,Armorite Ore
33,Arrokuda Scales
34,Aspear Berry
35,Assault Vest
36,Audinite
37,Auspicious Armor
38,Aux Evasion
39,Aux Guard
40,Aux Power
41,Aux Powerguard
42,Avocado
43,Awakening
44,Axew Scales
45,Azurill Fur
46,Babiri Berry
47,Bach's Food Tin
48,Bacon
49,Bagon Scales
50,Baguette
51,Ball of Mud
52,Balm Mushroom
53,Banana
54,Banettite
55,Barboach Slime
56,Barred Cup
57,Basculin Fang
58,Basil
59,Battle Tablecloth
60,Beach Glass
61,Bean Cake
62,Beast Ball
63,Beedrillite
64,Belue Berry
65,Bergmite Ice
66,Berry Juice
67,Berry Sweet
68,Big Bamboo Shoot
69,Big Malasada
70,Big Mushroom
71,Big Nugget
72,Big Pearl
73,Big Root
74,Binding Band
75,Bitter Herba Mystica
76,Black Apricorn
77,Black Augurite
78,Black Belt
79,Black Flute
80,Black Glasses
81,Black Sludge
82,Black Tumblestone
83,Blank Plate
84,Blastoisinite
85,Blazikenite
86,Blue Apricorn
87,Blue Bottle
88,Blue Cup
89,Blue Dish
90,Blue-Flag Pick
91,Blue Flute
92,Blue Poké Ball Pick
93,Blue Scarf
94,Blue Shard
95,Blue-Sky Flower Pick
96,Blue Tablecloth
97,Bluk Berry
98,Blunder Policy
99,Bob's Food Tin
100,Boiled Egg
101,Bold Mint
102,Bombirdier Feather
103,Bonsly Tears
104,Booster Energy
105,Bottle Cap
106,Bounsweet Sweat
107,Bramblin Twig
108,Brave Mint
109,Bread
110,Bright Powder
111,Brittle Bones
112,Bronze Bottle
113,Bronze Cup
114,Bronzor Fragment
115,Bruxish Tooth
116,Bug Gem
117,Bug Memory
118,Bug Tera Shard
119,Buginium Z
120,Bugwort
121,Buizel Fur
122,Burn Drive
123,Burn Heal
124,Butter
125,Cacnea Needle
126,Cake-Lure Base
127,Calcium
128,Calm Mint
129,Cameruptite
130,Candy Truffle
131,Capsakid Seed
132,Carbos
133,Careful Mint
134,Carrot Seeds
135,Casteliacone
136,Caster Fern
137,Cell Battery
138,Cetoddle Grease
139,Chalky Stone
140,Charcadet Soot
141,Charcoal
142,Charizardite X
143,Charizardite Y
144,Charti Berry
145,Cheese
146,Cheri Berry
147,Cherish Ball
148,Cherry Tomatoes
149,Chesto Berry
150,Chewtle Claw
151,Chilan Berry
152,Chili Sauce
153,Chill Drive
154,Chipped Pot
155,Choice Band
156,Choice Dumpling
157,Choice Scarf
158,Choice Specs
159,Chople Berry
160,Chorizo
161,Clauncher Claw
162,Claw Fossil
163,Cleanse Tag
164,Clear Amulet
165,Clever Feather
166,Clever Mochi
167,Clover Sweet
168,Coba Berry
169,Coconut Milk
170,Colbur Berry
171,Combee Honey
172,Comet Shard
173,Cornn Berry
174,Courage Candy
175,Courage Candy L
176,Courage Candy XL
177,Cover Fossil
178,Covert Cloak
179,Crabrawler Shell
180,Cracked Pot
181,Crafting Kit
182,Cream Cheese
183,Croagunk Poison
184,Crunchy Salt
185,Cryogonal Ice
186,Cubchoo Fur
187,Cucumber
188,Cufant Tarnish
189,Curry Powder
190,Custap Berry
191,Cyber Ball
192,Cyclizar Scales
193,Damp Mulch
194,Damp Rock
195,Dark Gem
196,Dark Memory
197,Dark Tera Shard
198,Darkinium Z
199,Dawn Stone
200,Dazzling Honey
201,Decidium Z
202,Dedenne Fur
203,Deep Sea Scale
204,Deep Sea Tooth
205,Deerling Hair
206,Deino Scales
207,Delibird Parcel
208,Destiny Knot
209,Diamond Bottle
210,Diamond Pattern Cup
211,Diamond Tablecloth
212,Diancite
213,Digger Drill
214,Diglett Dirt
215,Dire Hit
216,Dire Hit 2
217,Dire Hit 3
218,Direshroom
219,Discount Coupon
220,Discovery Slate
221,Distortion Slate
222,Ditto Goo
223,Dive Ball
224,DNA Splicers
225,Dome Fossil
226,Dondozo Whisker
227,Doppel Bonnets
228,Douse Drive
229,Draco Plate
230,Dragon Fang
231,Dragon Gem
232,Dragon Memory
233,Dragon Scale
234,Dragon Tera Shard
235,Dragonium Z
236,Dratini Scales
237,Dread Plate
238,Dream Ball
239,Dreepy Powder
240,Drifloon Gas
241,Dropped Item
242,Drowzee Fur
243,Dubious Disc
244,Dunsparce Scales
245,Durin Berry
246,Dusk Ball
247,Dusk Stone
248,Dynamax Candy
249,Dynite Ore
250,Earth Plate
251,Eevee Cup
252,Eevee Fur
253,Eevium Z
254,Egg
255,Eiscue Down
256,Eject Button
257,Eject Pack
258,Electirizer
259,Electric Gem
260,Electric Memory
261,Electric Seed
262,Electric Tera Shard
263,Electrium Z
264,Elevator Key
265,Elixir
266,Energy Powder
267,Energy Root
268,Enigma Berry
269,Escape Rope
270,Ether
271,Everstone
272,Eviolite
273,Exercise Ball
274,Exp. Candy L
275,Exp. Candy M
276,Exp. Candy S
277,Exp. Candy XL
278,Exp. Candy XS
279,Exp. Share
280,Expert Belt
281,Fairium Z
282,Fairy Gem
283,Fairy Memory
284,Fairy Tera Shard
285,Falinks Sweat
286,Fancy Apple
287,Fast Ball
288,Feather Ball
289,Festival Ticket
290,Fidough Fur
291,Fighting Gem
292,Fighting Memory
293,Fighting Tera Shard
294,Fightinium Z
295,Figy Berry
296,Fine Remedy
297,Finizen Mucus
298,Finneon Scales
299,Fire Gem
300,Fire Memory
301,Fire Pattern Cup
302,Fire Stone
303,Fire Tera Shard
304,Firium Z
305,Fist Plate
306,Flabébé Pollen
307,Flame Orb
308,Flame Plate
309,Flamigo Down
310,Fletchling Feather
311,Flittle Down
312,Float Stone
313,Flower Pattern Cup
314,Flower Sweet
315,Fluffy Tail
316,Flying Gem
317,Flying Memory
318,Flying Tera Shard
319,Flyinium Z
320,Focus Band
321,Focus Sash
322,Fomantis Leaf
323,Foongus Spores
324,Fossilized Bird
325,Fossilized Dino
326,Fossilized Drake
327,Fossilized Fish
328,Fresh Cream
329,Fresh-Start Mochi
330,Fresh Water
331,Fried Fillet
332,Fried Food
333,Friend Ball
334,Frigibax Scales
335,Fruit Bunch
336,Full Heal
337,Full Incense
338,Full Restore
339,Galarica Cuff
340,Galarica Twig
341,Galarica Wreath
342,Galladite
343,Ganlon Berry
344,Garchompite
345,Gardevoirite
346,Gastly Gas
347,Gengarite
348,Genius Feather
349,Genius Mochi
350,Genome Slate
351,Gentle Mint
352,Ghost Gem
353,Ghost Memory
354,Ghost Tera Shard
355,Ghostium Z
356,Gible Scales
357,Gigantamix
358,Gigaton Ball
359,Gimmighoul Coin
360,Girafarig Fur
361,Glalitite
362,Glimmet Crystal
363,Gold Bottle
364,Gold Bottle Cap
365,Gold Cup
366,Gold Leaf
367,Gold Pick
368,Golden Nanab Berry
369,Golden Pinap Berry
370,Golden Razz Berry
371,Gooey Mulch
372,Goomy Goo
373,Gothita Eyelash
374,Grain Cake
375,Grass Gem
376,Grass Memory
377,Grass Tera Shard
378,Grassium Z
379,Grassy Seed
380,Great Ball
381,Greavard Wax
382,Green Apricorn
383,Green Bell Pepper
384,Green Dish
385,Green Poké Ball Pick
386,Green Scarf
387,Green Shard
388,Grepa Berry
389,Grimer Toxin
390,Grip Claw
391,Griseous Core
392,Griseous Orb
393,Grit Dust
394,Grit Gravel
395,Grit Pebble
396,Grit Rock
397,Ground Gem
398,Ground Memory
399,Ground Tera Shard
400,Groundium Z
401,Growlithe Fur
402,Growth Mulch
403,Grubby Hanky
404,Guard Spec.
405,Gulpin Mucus
406,Gyaradosite
407,Haban Berry
408,Ham
409,Hamburger
410,Happiny Dust
411,Hard Stone
412,Hasty Mint
413,Hatenna Dust
414,Hawlucha Down
415,Heal Ball
416,Heal Powder
417,Health Candy
418,Health Candy L
419,Health Candy XL
420,Health Feather
421,Health Mochi
422,Heart Scale
423,Hearty Grains
424,Heat Rock
425,Heavy Ball
426,Heavy-Duty Boots
427,Helix Fossil
428,Heracronite
429,Heracross Claw
430,Herbed Sausage
431,Heroic Sword Pick
432,Hi-tech Earbuds
433,Hippopotas Sand
434,HM01
435,HM02
436,HM03
437,HM04
438,HM05
439,HM06
440,HM07
441,HM08
442,Hometown Muffin
443,Hondew Berry
444,Honey
445,Honey Cake
446,Honor Of Kalos
447,Hopo Berry
448,Hoppip Leaf
449,Horseradish
450,Houndoominite
451,Houndour Fang
452,HP Up
453,Hyper Potion
454,Iapapa Berry
455,Ice Gem
456,Ice Heal
457,Ice Memory
458,Ice Stone
459,Ice Tera Shard
460,Iceroot Carrot
461,Icicle Plate
462,Icium Z
463,Icy Rock
464,Igglybuff Fluff
465,Impidimp Hair
466,Impish Mint
467,Incinium Z
468,Indeedee Fur
469,Insect Plate
470,Instant Noodles
471,Intriguing Stone
472,Iron
473,Iron Ball
474,Iron Barktongue
475,Iron Chunk
476,Iron Plate
477,Item Drop
478,Item Urge
479,Jaboca Berry
480,Jalapeño
481,Jam
482,Jet Ball
483,Johto Slate
484,Jolly Mint
485,Jubilife Muffin
486,Kangaskhanite
487,Kanto Slate
488,Kasib Berry
489,Kebia Berry
490,Kee Berry
491,Kelpsy Berry
492,Ketchup
493,King's Leaf
494,King's Rock
495,Kiwi
496,Klawf Claw
497,Klawf Stick
498,Klefki Key
499,Kofu's Wallet
500,Komala Claw
501,Kommonium Z
502,Koraidon's Poké Ball
503,Kricketot Shell
504,Lagging Tail
505,Lansat Berry
506,Large Leek
507,Larvesta Fuzz
508,Larvitar Claw
509,Latiasite
510,Latiosite
511,Lava Cookie
512,Lax Incense
513,Lax Mint
514,Leaden Ball
515,Leader's Crest
516,Leaf Letter
517,Leaf Stone
518,Leafy Tablecloth
519,Lechonk Hair
520,Leek
521,Leftovers
522,Legend Plate
523,Lemonade
524,Leppa Berry
525,Lettuce
526,Level Ball
527,Liechi Berry
528,Life Orb
529,Light Ball
530,Light Clay
531,Lilac Tablecloth
532,Linking Cord
533,Litleo Tuft
534,Loaded Dice
535,Lone Earring
536,Lonely Mint
537,Looker Ticket
538,Lopunnite
539,Lost Satchel
540,Love Ball
541,Love Sweet
542,Lucarionite
543,Luck Incense
544,Lucky Egg
545,Lucky Punch
546,Lum Berry
547,Luminous Moss
548,Lumiose Galette
549,Lunalium Z
550,Lure
551,Lure Ball
552,Lustrous Globe
553,Lustrous Orb
554,Luvdisc Scales
555,Luxury Ball
556,Lycanium Z
557,Macho Brace
558,Magical Heart Pick
559,Magical Star Pick
560,Magikarp Scales
561,Magmarizer
562,Magnemite Screw
563,Magnet
564,Mago Berry
565,Magost Berry
566,Makuhita Sweat
567,Malicious Armor
568,Manectite
569,Mankey Fur
570,Maranga Berry
571,Marble
572,Mareanie Spike
573,Mareep Wool
574,Marill Ball
575,Marmalade
576,Marsh Balm
577,Marshadium Z
578,Maschiff Fang
579,Master Ball
580,Masterpiece Teacup
581,Mawilite
582,Max Elixir
583,Max Ether
584,Max Honey
585,Max Lure
586,Max Mushrooms
587,Max Potion
588,Max Repel
589,Max Revive
590,Mayonnaise
591,Meadow Plate
592,Medichamite
593,Medicinal Leek
594,Meditite Sweat
595,Mental Herb
596,Meowth Fur
597,Metagrossite
598,Metal Alloy
599,Metal Coat
600,Metal Powder
601,Metronome
602,Mewnium Z
603,Mewtwonite X
604,Mewtwonite Y
605,Micle Berry
606,Mighty Candy
607,Mighty Candy L
608,Mighty Candy XL
609,Mild Mint
610,Mimikium Z
611,Mimikyu Scrap
612,Mind Plate
613,Mint Tablecloth
614,Miracle Seed
615,Miraidon's Poké Ball
616,Mirror Herb
617,Misdreavus Tears
618,Misty Seed
619,Mixed Mushrooms
620,Modest Mint
621,Monstrous Tablecloth
622,Moomoo Cheese
623,Moomoo Milk
624,Moon Ball
625,Moon Stone
626,Mudbray Mud
627,Murkrow Bauble
628,Muscle Band
629,Muscle Feather
630,Muscle Mochi
631,Mushroom Cake
632,Mustard
633,Mysterious Shard L
634,Mysterious Shard S
635,Mystic Water
636,Nacli Salt
637,Naive Mint
638,Nanab Berry
639,Naughty Mint
