Name:Bulbasaur, Type:Grass/Poison
Name:Ivysaur, Type:Grass/Poison
Name:Venusaur, Type:Grass/Poison
Name:Charmander, Type:Fire
Name:Charmeleon, Type:Fire
Name:Charizard, Type:Fire/Flying
Name:Squirtle, Type:Water
Name:Wartortle, Type:Water
Name:Blastoise, Type:Water
Name:Caterpie, Type:Bug
Name:Metapod, Type:Bug
Name:Butterfree, Type:Bug/Flying
Name:Weedle, Type:Bug/Poison
Name:Kakuna, Type:Bug/Poison
Name:Beedrill, Type:Bug/Poison
Name:Pidgey, Type:Normal/Flying
Name:Pidgeotto, Type:Normal/Flying
Name:Pidgeot, Type:Normal/Flying
Name:Rattata, Type:Normal
Name:Raticate, Type:Normal
Name:Spearow, Type:Normal/Flying
Name:Fearow, Type:Normal/Flying
Name:Ekans, Type:Poison
Name:Arbok, Type:Poison
Name:Pikachu, Type:Electric
Name:Raichu, Type:Electric
Name:Sandshrew, Type:Ground
Name:Sandslash, Type:Ground
Name:Nidoran♀, Type:Poison
Name:Nidorina, Type:Poison
Name:Nidoqueen, Type:Poison/Ground
Name:Nidoran♂, Type:Poison
Name:Nidorino, Type:Poison
Name:Nidoking, Type:Poison/Ground
Name:Clefairy, Type:Fairy
Name:Clefable, Type:Fairy
Name:Vulpix, Type:Fire
Name:Ninetales, Type:Fire
Name:Jigglypuff, Type:Normal/Fairy
Name:Wigglytuff, Type:Normal/Fairy
Name:Zubat, Type:Poison/Flying
Name:Golbat, Type:Poison/Flying
Name:Oddish, Type:Grass/Poison
Name:Gloom, Type:Grass/Poison
Name:Vileplume, Type:Grass/Poison
Name:Paras, Type:Bug/Grass
Name:Parasect, Type:Bug/Grass
Name:Venonat, Type:Bug/Poison
Name:Venomoth, Type:Bug/Poison
Name:Diglett, Type:Ground
Name:Dugtrio, Type:Ground
Name:Meowth, Type:Normal
Name:Persian, Type:Normal
Name:Psyduck, Type:Water
Name:Golduck, Type:Water
Name:Mankey, Type:Fighting
Name:Primeape, Type:Fighting
Name:Growlithe, Type:Fire
Name:Arcanine, Type:Fire
Name:Poliwag, Type:Water
Name:Poliwhirl, Type:Water
Name:Poliwrath, Type:Water/Fighting
Name:Abra, Type:Psychic
Name:Kadabra, Type:Psychic
Name:Alakazam, Type:Psychic
Name:Machop, Type:Fighting
Name:Machoke, Type:Fighting
Name:Machamp, Type:Fighting
Name:Bellsprout, Type:Grass/Poison
Name:Weepinbell, Type:Grass/Poison
Name:Victreebel, Type:Grass/Poison
Name:Tentacool, Type:Water/Poison
Name:Tentacruel, Type:Water/Poison
Name:Geodude, Type:Rock/Ground
Name:Graveler, Type:Rock/Ground
Name:Golem, Type:Rock/Ground
Name:Ponyta, Type:Fire
Name:Rapidash, Type:Fire
Name:Slowpoke, Type:Water/Psychic
Name:Slowbro, Type:Water/Psychic
Name:Magnemite, Type:Electric/Steel
Name:Magneton, Type:Electric/Steel
Name:Farfetch'd, Type:Normal/Flying
Name:Doduo, Type:Normal/Flying
Name:Dodrio, Type:Normal/Flying
Name:Seel, Type:Water
Name:Dewgong, Type:Water/Ice
Name:Grimer, Type:Poison
Name:Muk, Type:Poison
Name:Shellder, Type:Water
Name:Cloyster, Type:Water/Ice
Name:Gastly, Type:Ghost/Poison
Name:Haunter, Type:Ghost/Poison
Name:Gengar, Type:Ghost/Poison
Name:Onix, Type:Rock/Ground
Name:Drowzee, Type:Psychic
Name:Hypno, Type:Psychic
Name:Krabby, Type:Water
Name:Kingler, Type:Water
Name:Voltorb, Type:Electric
Name:Electrode, Type:Electric
Name:Exeggcute, Type:Grass/Psychic
Name:Exeggutor, Type:Grass/Psychic
Name:Cubone, Type:Ground
Name:Marowak, Type:Ground
Name:Hitmonlee, Type:Fighting
Name:Hitmonchan, Type:Fighting
Name:Lickitung, Type:Normal
Name:Koffing, Type:Poison
Name:Weezing, Type:Poison
Name:Rhyhorn, Type:Ground/Rock
Name:Rhydon, Type:Ground/Rock
Name:Chansey, Type:Normal
Name:Tangela, Type:Grass
Name:Kangaskhan, Type:Normal
Name:Horsea, Type:Water
Name:Seadra, Type:Water
Name:Goldeen, Type:Water
Name:Seaking, Type:Water
Name:Staryu, Type:Water
Name:Starmie, Type:Water/Psychic
Name:Mr. Mime, Type:Psychic/Fairy
Name:Scyther, Type:Bug/Flying
Name:Jynx, Type:Ice/Psychic
Name:Electabuzz, Type:Electric
Name:Magmar, Type:Fire
Name:Pinsir, Type:Bug
Name:Tauros, Type:Normal
Name:Magikarp, Type:Water
Name:Gyarados, Type:Water/Flying
Name:Lapras, Type:Water/Ice
Name:Ditto, Type:Normal
Name:Eevee, Type:Normal
Name:Vaporeon, Type:Water
Name:Jolteon, Type:Electric
Name:Flareon, Type:Fire
Name:Porygon, Type:Normal
Name:Omanyte, Type:Rock/Water
Name:Omastar, Type:Rock/Water
Name:Kabuto, Type:Rock/Water
Name:Kabutops, Type:Rock/Water
Name:Aerodactyl, Type:Rock/Flying
Name:Snorlax, Type:Normal
Name:Articuno, Type:Ice/Flying
Name:Zapdos, Type:Electric/Flying
Name:Moltres, Type:Fire/Flying
Name:Dratini, Type:Dragon
Name:Dragonair, Type:Dragon
Name:Dragonite, Type:Dragon/Flying
Name:Mewtwo, Type:Psychic
Name:Mew, Type:Psychic
Name:Chikorita, Type:Grass
Name:Bayleef, Type:Grass
Name:Meganium, Type:Grass
Name:Cyndaquil, Type:Fire
Name:Quilava, Type:Fire
Name:Typhlosion, Type:Fire
Name:Totodile, Type:Water
Name:Croconaw, Type:Water
Name:Feraligatr, Type:Water
Name:Sentret, Type:Normal
Name:Furret, Type:Normal
Name:Hoothoot, Type:Normal/Flying
Name:Noctowl, Type:Normal/Flying
Name:Ledyba, Type:Bug/Flying
Name:Ledian, Type:Bug/Flying
Name:Spinarak, Type:Bug/Poison
Name:Ariados, Type:Bug/Poison
Name:Crobat, Type:Poison/Flying
Name:Chinchou, Type:Water/Electric
Name:Lanturn, Type:Water/Electric
Name:Pichu, Type:Electric
Name:Cleffa, Type:Fairy
Name:Igglybuff, Type:Normal/Fairy
Name:Togepi, Type:Fairy
Name:Togetic, Type:Fairy/Flying
Name:Natu, Type:Psychic/Flying
Name:Xatu, Type:Psychic/Flying
Name:Mareep, Type:Electric
Name:Flaaffy, Type:Electric
Name:Ampharos, Type:Electric
Name:Bellossom, Type:Grass
Name:Marill, Type:Water/Fairy
Name:Azumarill, Type:Water/Fairy
Name:Sudowoodo, Type:Rock
Name:Politoed, Type:Water
Name:Hoppip, Type:Grass/Flying
Name:Skiploom, Type:Grass/Flying
Name:Jumpluff, Type:Grass/Flying
Name:Aipom, Type:Normal
Name:Sunkern, Type:Grass
Name:Sunflora, Type:Grass
Name:Yanma, Type:Bug/Flying
Name:Wooper, Type:Water/Ground
Name:Quagsire, Type:Water/Ground
Name:Espeon, Type:Psychic
